Part		Description	Price:	1	10	100	250	1000
MF-RES-0603-1M	MF-RES-0603-1M - Resistor Thick Film 0603 1M Ohm 5% 100mW 75V	Resistor Thick Film 0603 1M Ohm 5% 100mW 75V		$0.050	$0.008	$0.005	$0.004	$0.003
MF-RES-0805-100	MF-RES-0805-100 - Resistor Thick Film 0805 100 Ohm 5% 125mW 150V	Resistor Thick Film 0805 100 Ohm 5% 125mW 150V		$0.050	$0.010	$0.006	$0.005	$0.004
MF-CAP-0402-27pF	MF-CAP-0402-27pF - Capacitor MLCC 0402 27pF 5% 50V	Capacitor MLCC 0402 27pF 5% 50V		$0.050	$0.008	$0.006	$0.005	$0.004
MF-DSC-SOT233-MMBT3906	MF-DSC-SOT233-MMBT3906 - BJT Transistor SOT-23-3 PNP General Purpose	BJT Transistor SOT-23-3 PNP General Purpose		$0.080	$0.070	$0.030	$0.028	$0.021
MF-CON-2.54mm-01x25	MF-CON-2.54mm-01x25 - Pin Header 2.54mm 1x25 Unshrouded 25 Pins, 1 Row of 25, 01x25	Pin Header 2.54mm 1x25 Unshrouded 25 Pins, 1 Row of 25, 01x25		$2.191	$1.778	$1.11	$0.948	$0.617
MF-CON-2.54mm-01x35	MF-CON-2.54mm-01x35 - Pin Header 2.54mm 1x35 Unshrouded 35 Pins, 1 Row of 35, 01x35	Pin Header 2.54mm 1x35 Unshrouded 35 Pins, 1 Row of 35, 01x35		$2.939	$2.386	$1.49	$1.273	$0.83
MF-CON-2.54mm-01x31	MF-CON-2.54mm-01x31 - Pin Header 2.54mm 1x31 Unshrouded 31 Pins, 1 Row of 31, 01x31	Pin Header 2.54mm 1x31 Unshrouded 31 Pins, 1 Row of 31, 01x31		$2.64	$2.143	$1.338	$1.143	$0.745
MF-CON-2.54mm-01x33	MF-CON-2.54mm-01x33 - Pin Header 2.54mm 1x33 Unshrouded 33 Pins, 1 Row of 33, 01x33	Pin Header 2.54mm 1x33 Unshrouded 33 Pins, 1 Row of 33, 01x33		$2.789	$2.264	$1.414	$1.208	$0.787
MF-CON-2.54mm-01x30	MF-CON-2.54mm-01x30 - Pin Header 2.54mm 1x30 Unshrouded 30 Pins, 1 Row of 30, 01x30	Pin Header 2.54mm 1x30 Unshrouded 30 Pins, 1 Row of 30, 01x30		$2.565	$2.082	$1.3	$1.111	$0.724
MF-CON-2.54mm-01x13	MF-CON-2.54mm-01x13 - Pin Header 2.54mm 1x13 Unshrouded 13 Pins, 1 Row of 13, 01x13	Pin Header 2.54mm 1x13 Unshrouded 13 Pins, 1 Row of 13, 01x13		$1.294	$1.049	$0.654	$0.558	$0.362
MF-CON-2.54mm-01x08	MF-CON-2.54mm-01x08 - Pin Header 2.54mm 1x8 Unshrouded 8 Pins, 1 Row of 8, 01x08	Pin Header 2.54mm 1x8 Unshrouded 8 Pins, 1 Row of 8, 01x08		$0.921	$0.746	$0.464	$0.396	$0.256
MF-CON-2.54mm-01x02	MF-CON-2.54mm-01x02 - Pin Header 2.54mm 1x2 Unshrouded 2 Pins, 1 Row of 2, 01x02	Pin Header 2.54mm 1x2 Unshrouded 2 Pins, 1 Row of 2, 01x02		$0.47	$0.38	$0.23	$0.20	$0.12
MF-CON-2.54mm-01x03	MF-CON-2.54mm-01x03 - Pin Header 2.54mm 1x3 Unshrouded 3 Pins, 1 Row of 3, 01x03	Pin Header 2.54mm 1x3 Unshrouded 3 Pins, 1 Row of 3, 01x03		$0.547	$0.442	$0.275	$0.234	$0.150
MF-RES-0805-20K	MF-RES-0805-20K - Resistor Thick Film 0805 20K Ohm 1% 125mW 150V	Resistor Thick Film 0805 20K Ohm 1% 125mW 150V		$0.050	$0.010	$0.008	$0.006	$0.004
MF-IC-SOP14-WS2801	MF-IC-SOP14-WS2801 - WS2801 3-channel constant current RGB LED driver SOP-14	WS2801 3-channel constant current RGB LED driver SOP-14		$0.500	$0.400	$0.300	$0.200	$0.140
MF-DIO-SMA-B140	MF-DIO-SMA-B140 - Schottky Diode 40V 1A SMA B140	Schottky Diode 40V 1A SMA B140		$0.54	$0.3036	$0.11772	N/A	$0.084609
MF-DSC-SOT233-BSS138	MF-DSC-SOT233-BSS138 - Mosfet SOT-23-3 N-Channel Logic Level	Mosfet SOT-23-3 N-Channel Logic Level		$0.180	$0.100	$0.050	$0.046	$0.038
MF-RES-0805-100K	MF-RES-0805-100K - Resistor Thick Film 0805 100K Ohm 5% 125mW 150V	Resistor Thick Film 0805 100K Ohm 5% 125mW 150V		$0.050	$0.009	$0.006	$0.005	$0.004
MF-RES-0805-470	MF-RES-0805-470 - Resistor Thick Film 0805 470 Ohm 5% 125mW 150V	Resistor Thick Film 0805 470 Ohm 5% 125mW 150V		$0.050	$0.009	$0.006	$0.005	$0.004
MF-RES-0402-560	MF-RES-0402-560 - Resistor Thick Film 0402 560 Ohm 5% 100mW 50V	Resistor Thick Film 0402 560 Ohm 5% 100mW 50V		$0.050	$0.008	$0.006	$0.004	$0.003
MF-RES-0805-560K	MF-RES-0805-560K - Resistor Thick Film 0805 560K Ohm 5% 125mW 150V	Resistor Thick Film 0805 560K Ohm 5% 125mW 150V		$0.050	$0.010	$0.008	$0.006	$0.005
MF-RES-0603-15K	MF-RES-0603-15K - Resistor Thick Film 0603 15K Ohm 5% 100mW 75V	Resistor Thick Film 0603 15K Ohm 5% 100mW 75V		$0.050	$0.008	$0.006	$0.004	$0.003
MF-RES-0603-2K	MF-RES-0603-2K - Resistor Thick Film 0603 2K Ohm 1% 1/10W 50V	Resistor Thick Film 0603 2K Ohm 1% 1/10W 50V		$0.050	$0.008	$0.006	$0.004	$0.003
MF-RES-0603-0	MF-RES-0603-0 - Resistor Thick Film 0603 0 Ohm Jumper	Resistor Thick Film 0603 0 Ohm Jumper		$0.050	$0.008	$0.006	$0.004	$0.003
MF-RES-0402-2K	MF-RES-0402-2K - Resistor Thick Film 0402 2K Ohm 5% 100mW 50V	Resistor Thick Film 0402 2K Ohm 5% 100mW 50V		$0.050	$0.008	$0.006	$0.005	$0.004
MF-RES-0603-4.7K	MF-RES-0603-4.7K - Resistor Thick Film 0603 4.7K Ohm 5% 100mW 75V	Resistor Thick Film 0603 4.7K Ohm 5% 100mW 75V		$0.050	$0.008	$0.006	$0.004	$0.003
MF-RES-0603-560	MF-RES-0603-560 - Resistor Thick Film 0603 560 Ohm 5% 100mW 75V	Resistor Thick Film 0603 560 Ohm 5% 100mW 75V		$0.050	$0.010	$0.005	$0.004	$0.003
MF-RES-0805-750K	MF-RES-0805-750K - Resistor Thick Film 0805 750K Ohm 5% 125W 150V	Resistor Thick Film 0805 750K Ohm 5% 125W 150V		$0.050	$0.010	$0.006	$0.005	$0.004
MF-RES-0805-4.7K	MF-RES-0805-4.7K - Resistor Thick Film 0805 4.7K Ohm 5% 125mW 150V	Resistor Thick Film 0805 4.7K Ohm 5% 125mW 150V		$0.050	$0.010	$0.008	$0.006	$0.004
MF-RES-0805-560	MF-RES-0805-560 - Resistor Thick Film 0805 560 Ohm 5% 125mW 150V	Resistor Thick Film 0805 560 Ohm 5% 125mW 150V		$0.050	$0.010	$0.007	$0.005	$0.004
MF-CAP-0603-4.7nF	MF-CAP-0603-4.7nF - Capacitor MLCC 0603 4.7nF 10% 50V	Capacitor MLCC 0603 4.7nF 10% 50V		$0.050	$0.010	$0.008	$0.007	$0.006
MF-RES-ARRAY-1K	MF-RES-ARRAY-1K - Resistor Array 1K Ohm 62mW 50V 5%	Resistor Array 1K Ohm 62mW 50V 5%		$0.080	$0.038	$0.033	$0.032	$0.030
MF-RES-0603-75	MF-RES-0603-75 - Resistor Thick Film 0603 75 Ohm 5% 100mW 75V	Resistor Thick Film 0603 75 Ohm 5% 100mW 75V		$0.050	$0.010	$0.005	$0.004	$0.003
MF-RES-0402-470K	MF-RES-0402-470K - Resistor Thick Film 0402 470K Ohm 5% 100mW 50V	Resistor Thick Film 0402 470K Ohm 5% 100mW 50V		$0.060	$0.008	$0.005	$0.004	$0.003
MF-RES-0402-4.7K	MF-RES-0402-4.7K - Resistor Thick Film 0402 4.7K Ohm 5% 100mW 50V	Resistor Thick Film 0402 4.7K Ohm 5% 100mW 50V		$0.070	$0.008	$0.005	$0.004	$0.003
MF-RES-0402-100	MF-RES-0402-100 - Resistor Thick Film 0402 100 Ohm 5% 100mW 50V	Resistor Thick Film 0402 100 Ohm 5% 100mW 50V		$0.050	$0.008	$0.006	$0.005	$0.004
MF-DIO-SOD123-1N4148	MF-DIO-SOD123-1N4148 - Switching Diode General Purpose 100volt 500mA SOD-123	Switching Diode General Purpose 100volt 500mA SOD-123		$0.400	$0.200	$0.080	$0.075	$0.068
MF-RES-0805-15K	MF-RES-0805-15K - Resistor Thick Film 0805 15K Ohm 5% 125mW 150V	Resistor Thick Film 0805 15K Ohm 5% 125mW 150V		$0.050	$0.010	$0.005	$0.004	$0.003
MF-RES-0805-10K	MF-RES-0805-10K - Resistor Thick Film 0805 10K Ohm 5% 125mW 150V	Resistor Thick Film 0805 10K Ohm 5% 125mW 150V		$0.050	$0.009	$0.008	$0.006	$0.004
MF-CAP-0603-0.1uF	MF-CAP-0603-0.1uF - Capacitor MLCC 0603 0.1uF 10% 25V	Capacitor MLCC 0603 0.1uF 10% 25V		$0.050	$0.007	$0.006	$0.005	$0.004
MF-RES-0805-220	MF-RES-0805-220 - Resistor Thick Film 0805 220 Ohm 5% 125mW 150V	Resistor Thick Film 0805 220 Ohm 5% 125mW 150V		$0.050	$0.009	$0.008	$0.006	$0.004
MF-RES-0805-47	MF-RES-0805-47 - Resistor Thick Film 0805 47 Ohm 5% 125mW 150V	Resistor Thick Film 0805 47 Ohm 5% 125mW 150V		$0.050	$0.009	$0.008	$0.006	$0.004
MF-CAP-0805-0.1uF	MF-CAP-0805-0.1uF - Capacitor MLCC 0805 0.1uF -20% +80% 50V	Capacitor MLCC 0805 0.1uF -20% +80% 50V		$0.050	$0.011	$0.010	$0.009	$0.008
MF-CAP-0603-10pF	MF-CAP-0603-10pF - Capacitor MLCC 0603 10pF 50V C0G +/- 0.5pF	Capacitor MLCC 0603 10pF 50V C0G +/- 0.5pF		$0.070	$0.030	$0.010	$0.009	$0.008
MF-CON-2.54mm-2x3	MF-CON-2.54mm-2x3 - Header 2.54mm 2x3 Unshrouded 6 Pins, 2 Rows of 3, 02x03	Header 2.54mm 2x3 Unshrouded 6 Pins, 2 Rows of 3, 02x03		$0.220	$0.160	$0.155	$0.145	$0.110
